node,commodity,level,year,time,value,unit
R12_AFR,comm_heat_biomass,final,2050,year,0.03984079921607801,GWa
R12_AFR,comm_heat_coal,final,2050,year,0.011797920370168568,GWa
R12_AFR,comm_heat_electr,final,2050,year,0.16809996127010926,GWa
R12_AFR,comm_heat_gas,final,2050,year,4.727580636777551e-6,GWa
R12_AFR,comm_heat_lightoil,final,2050,year,0.009746394704846452,GWa
R12_AFR,comm_hotwater_biomass,final,2050,year,1.2622217179059843,GWa
R12_AFR,comm_hotwater_coal,final,2050,year,0.3737774244096388,GWa
R12_AFR,comm_hotwater_electr,final,2050,year,6.677756387761436,GWa
R12_AFR,comm_hotwater_gas,final,2050,year,1.4977749093478303e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2050,year,0.3087817340466981,GWa
R12_AFR,comm_other_uses_electr,final,2050,year,11.568857485832003,GWa
R12_AFR,comm_cool_electr,final,2055,year,6.119326784637803,GWa
R12_AFR,comm_heat_biomass,final,2055,year,0.03713911638440756,GWa
R12_AFR,comm_heat_coal,final,2055,year,0.010997880221828286,GWa
R12_AFR,comm_heat_electr,final,2055,year,0.23089685450576575,GWa
R12_AFR,comm_heat_gas,final,2055,year,4.406994097952687e-6,GWa
R12_AFR,comm_heat_lightoil,final,2055,year,0.009085472540581015,GWa
R12_AFR,comm_hotwater_biomass,final,2055,year,1.2174617987618672,GWa
R12_AFR,comm_hotwater_coal,final,2055,year,0.36052282178495587,GWa
R12_AFR,comm_hotwater_electr,final,2055,year,9.591229784408036,GWa
R12_AFR,comm_hotwater_gas,final,2055,year,1.444661981807523e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2055,year,0.29783195774911003,GWa
R12_AFR,comm_other_uses_electr,final,2055,year,17.862607614038833,GWa
R12_AFR,comm_cool_electr,final,2060,year,8.857460964164014,GWa
R12_AFR,comm_heat_biomass,final,2060,year,0.03460656179733113,GWa
R12_AFR,comm_heat_coal,final,2060,year,0.010247923445376625,GWa
R12_AFR,comm_heat_electr,final,2060,year,0.3129213745439413,GWa
R12_AFR,comm_heat_gas,final,2060,year,4.106476649489652e-6,GWa
R12_AFR,comm_heat_lightoil,final,2060,year,0.00846592481302047,GWa
R12_AFR,comm_hotwater_biomass,final,2060,year,1.1793309385637614,GWa
R12_AFR,comm_hotwater_coal,final,2060,year,0.34923125984022024,GWa
R12_AFR,comm_hotwater_electr,final,2060,year,13.651677357528646,GWa
R12_AFR,comm_hotwater_gas,final,2060,year,1.399415221759549e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2060,year,0.2885038714343781,GWa
R12_AFR,comm_other_uses_electr,final,2060,year,27.43076042211544,GWa
R12_AFR,comm_cool_electr,final,2070,year,18.070849290070264,GWa
R12_AFR,comm_heat_biomass,final,2070,year,0.030060091202994122,GWa
R12_AFR,comm_heat_coal,final,2070,year,0.008901592571194482,GWa
R12_AFR,comm_heat_electr,final,2070,year,0.527220986126126,GWa
R12_AFR,comm_heat_gas,final,2070,year,3.5669842957761255e-6,GWa
R12_AFR,comm_heat_lightoil,final,2070,year,0.00735370573615851,GWa
R12_AFR,comm_hotwater_biomass,final,2070,year,1.1109015058223797,GWa
R12_AFR,comm_hotwater_coal,final,2070,year,0.3289674846568084,GWa
R12_AFR,comm_hotwater_electr,final,2070,year,25.43738116666943,GWa
R12_AFR,comm_hotwater_gas,final,2070,year,1.3182156287694857e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2070,year,0.27176373885604865,GWa
R12_AFR,comm_other_uses_electr,final,2070,year,57.40386336677707,GWa
R12_AFR,comm_cool_electr,final,2080,year,29.725556606894468,GWa
R12_AFR,comm_heat_biomass,final,2080,year,0.02641928052241775,GWa
R12_AFR,comm_heat_coal,final,2080,year,0.007823451687052762,GWa
R12_AFR,comm_heat_electr,final,2080,year,0.7415606329705067,GWa
R12_AFR,comm_heat_gas,final,2080,year,3.1349591482285207e-6,GWa
R12_AFR,comm_heat_lightoil,final,2080,year,0.006463041426293833,GWa
R12_AFR,comm_hotwater_biomass,final,2080,year,1.0462621867327484,GWa
R12_AFR,comm_hotwater_coal,final,2080,year,0.30982606293820913,GWa
R12_AFR,comm_hotwater_electr,final,2080,year,39.03697307191223,GWa
R12_AFR,comm_hotwater_gas,final,2080,year,1.2415134520340687e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2080,year,0.25595079509758006,GWa
R12_AFR,comm_other_uses_electr,final,2080,year,92.10851557537576,GWa
R12_AFR,comm_cool_electr,final,2090,year,38.56127895779581,GWa
R12_AFR,comm_heat_biomass,final,2090,year,0.02359898769969062,GWa
R12_AFR,comm_heat_coal,final,2090,year,0.006988287965492442,GWa
R12_AFR,comm_heat_electr,final,2090,year,0.8691991729595182,GWa
R12_AFR,comm_heat_gas,final,2090,year,2.8002981374419157e-6,GWa
R12_AFR,comm_heat_lightoil,final,2090,year,0.005773103283113464,GWa
R12_AFR,comm_hotwater_biomass,final,2090,year,0.9775521113001651,GWa
R12_AFR,comm_hotwater_coal,final,2090,year,0.28947918198854944,GWa
R12_AFR,comm_hotwater_electr,final,2090,year,48.587512522238825,GWa
R12_AFR,comm_hotwater_gas,final,2090,year,1.1599808478772211e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2090,year,0.2391420079105414,GWa
R12_AFR,comm_other_uses_electr,final,2090,year,114.36574764153266,GWa
R12_AFR,comm_cool_electr,final,2100,year,41.906033340646744,GWa
R12_AFR,comm_heat_biomass,final,2100,year,0.021278635757458277,GWa
R12_AFR,comm_heat_coal,final,2100,year,0.006301170036518855,GWa
R12_AFR,comm_heat_electr,final,2100,year,0.9085698171666332,GWa
R12_AFR,comm_heat_gas,final,2100,year,2.5249610313608044e-6,GWa
R12_AFR,comm_heat_lightoil,final,2100,year,0.00520546743424146,GWa
R12_AFR,comm_hotwater_biomass,final,2100,year,0.9045795117174423,GWa
R12_AFR,comm_hotwater_coal,final,2100,year,0.26787005425885135,GWa
R12_AFR,comm_hotwater_electr,final,2100,year,52.571195834355954,GWa
R12_AFR,comm_hotwater_gas,final,2100,year,1.0733902546246997e-4,GWa
R12_AFR,comm_hotwater_lightoil,final,2100,year,0.22129046446344933,GWa
R12_AFR,comm_other_uses_electr,final,2100,year,122.36419151131051,GWa
R12_CHN,comm_cool_electr,final,2020,year,19.996975742954643,GWa
R12_CHN,comm_heat_biomass,final,2020,year,2.509800003593706,GWa
R12_CHN,comm_heat_coal,final,2020,year,7.8222178426659745,GWa
R12_CHN,comm_heat_d_heat,final,2020,year,5.389312015558849,GWa
R12_CHN,comm_heat_electr,final,2020,year,11.133536019903454,GWa
R12_CHN,comm_heat_gas,final,2020,year,10.355944178884252,GWa
R12_CHN,comm_heat_lightoil,final,2020,year,9.83129091787285,GWa
R12_CHN,comm_hotwater_biomass,final,2020,year,1.9058805998989872,GWa
R12_CHN,comm_hotwater_coal,final,2020,year,7.0964365058239345,GWa
R12_CHN,comm_hotwater_d_heat,final,2020,year,8.263141158789812,GWa
R12_CHN,comm_hotwater_electr,final,2020,year,13.661543641729388,GWa
R12_CHN,comm_hotwater_gas,final,2020,year,9.306669532683362,GWa
R12_CHN,comm_hotwater_lightoil,final,2020,year,9.28311456148353,GWa
R12_CHN,comm_other_uses_electr,final,2020,year,32.89729954982743,GWa
R12_CHN,comm_cool_electr,final,2025,year,25.75705580589709,GWa
R12_CHN,comm_heat_biomass,final,2025,year,2.4469719072311777,GWa
R12_CHN,comm_heat_coal,final,2025,year,7.550377036089647,GWa
R12_CHN,comm_heat_d_heat,final,2025,year,6.710958868978681,GWa
R12_CHN,comm_heat_electr,final,2025,year,15.980428997269573,GWa
R12_CHN,comm_heat_gas,final,2025,year,10.001862069167851,GWa
R12_CHN,comm_heat_lightoil,final,2025,year,9.465698881192612,GWa
R12_CHN,comm_hotwater_biomass,final,2025,year,2.0083812054372876,GWa
R12_CHN,comm_hotwater_coal,final,2025,year,7.359105839331537,GWa
R12_CHN,comm_hotwater_d_heat,final,2025,year,11.78884019720603,GWa
R12_CHN,comm_hotwater_electr,final,2025,year,23.7315754433001,GWa
R12_CHN,comm_hotwater_gas,final,2025,year,9.658762500156236,GWa
R12_CHN,comm_hotwater_lightoil,final,2025,year,9.595371981761494,GWa
R12_CHN,comm_other_uses_electr,final,2025,year,44.203676323025604,GWa
R12_CHN,comm_cool_electr,final,2030,year,28.202751668693665,GWa
R12_CHN,comm_heat_biomass,final,2030,year,2.392919490976271,GWa
R12_CHN,comm_heat_coal,final,2030,year,7.292763933239571,GWa
R12_CHN,comm_heat_d_heat,final,2030,year,7.570754205462986,GWa
R12_CHN,comm_heat_electr,final,2030,year,18.450324589451178,GWa
R12_CHN,comm_heat_gas,final,2030,year,9.667619405101245,GWa
R12_CHN,comm_heat_lightoil,final,2030,year,9.11385797795722,GWa
R12_CHN,comm_hotwater_biomass,final,2030,year,2.054846692052539,GWa
R12_CHN,comm_hotwater_coal,final,2030,year,7.367781051475294,GWa
R12_CHN,comm_hotwater_d_heat,final,2030,year,14.346679897051423,GWa
R12_CHN,comm_hotwater_electr,final,2030,year,30.054550035064352,GWa
R12_CHN,comm_hotwater_gas,final,2030,year,9.680654994853626,GWa
R12_CHN,comm_hotwater_lightoil,final,2030,year,9.56342127150312,GWa
R12_CHN,comm_other_uses_electr,final,2030,year,53.83522554976864,GWa
R12_CHN,comm_cool_electr,final,2035,year,28.847103699502316,GWa
R12_CHN,comm_heat_biomass,final,2035,year,2.268439299284781,GWa
R12_CHN,comm_heat_coal,final,2035,year,6.863816363748709,GWa
R12_CHN,comm_heat_d_heat,final,2035,year,8.113991361033273,GWa
R12_CHN,comm_heat_electr,final,2035,year,19.769309365628786,GWa
R12_CHN,comm_heat_gas,final,2035,year,9.102862659275521,GWa
R12_CHN,comm_heat_lightoil,final,2035,year,8.561838039284616,GWa
R12_CHN,comm_hotwater_biomass,final,2035,year,1.9928561635148423,GWa
R12_CHN,comm_hotwater_coal,final,2035,year,7.046519310759447,GWa
R12_CHN,comm_hotwater_d_heat,final,2035,year,16.02282174050907,GWa
R12_CHN,comm_hotwater_electr,final,2035,year,33.94833889309318,GWa
R12_CHN,comm_hotwater_gas,final,2035,year,9.265121297676163,GWa
R12_CHN,comm_hotwater_lightoil,final,2035,year,9.119336816094062,GWa
R12_CHN,comm_other_uses_electr,final,2035,year,61.95969262946221,GWa
R12_CHN,comm_cool_electr,final,2040,year,28.619591310710124,GWa
R12_CHN,comm_heat_biomass,final,2040,year,2.1150168789146693,GWa
R12_CHN,comm_heat_coal,final,2040,year,6.377070253617694,GWa
R12_CHN,comm_heat_d_heat,final,2040,year,8.478487375080606,GWa
R12_CHN,comm_heat_electr,final,2040,year,20.50959546229518,GWa
R12_CHN,comm_heat_gas,final,2040,year,8.45910845994683,GWa
R12_CHN,comm_heat_lightoil,final,2040,year,7.947374672953614,GWa
R12_CHN,comm_hotwater_biomass,final,2040,year,1.8834346654720606,GWa
R12_CHN,comm_hotwater_coal,final,2040,year,6.605123217874555,GWa
R12_CHN,comm_hotwater_d_heat,final,2040,year,17.17581116299618,GWa
R12_CHN,comm_hotwater_electr,final,2040,year,36.48233902620649,GWa
R12_CHN,comm_hotwater_gas,final,2040,year,8.6884231326694,GWa
R12_CHN,comm_hotwater_lightoil,final,2040,year,8.53297929873501,GWa
R12_CHN,comm_other_uses_electr,final,2040,year,69.58004516585694,GWa
R12_CHN,comm_cool_electr,final,2045,year,28.19887336792656,GWa
R12_CHN,comm_heat_biomass,final,2045,year,1.9492183934466514,GWa
R12_CHN,comm_heat_coal,final,2045,year,5.87752314727764,GWa
R12_CHN,comm_heat_d_heat,final,2045,year,8.70184309955212,GWa
R12_CHN,comm_heat_electr,final,2045,year,20.827075912980312,GWa
R12_CHN,comm_heat_gas,final,2045,year,7.796436796329659,GWa
