id_run,name_run,cop,eff,t_sp_c,t_sp_c_max,t_sp_h,f_c,f_f,f_h
0,tm23ts23th21,1,1,23,23,21,1,1,1
2,tm26ts26th18,1,1,26,26,18,1,1,1
